time,unit,fuel,output_up
5607,12,HardCoal,0.0
5608,1,NaturalGas,0.0
5608,2,NaturalGas,0.0
5608,3,Lignite,0.0
5608,4,Nuclear,106.62498999999981
5608,5,Oil,0.0
5608,6,NaturalGas,0.0
5608,7,NaturalGas,0.0
5608,8,HardCoal,0.0
5608,9,HardCoal,0.0
5608,10,Lignite,0.0
5608,11,Lignite,142.83170678640772
5608,12,HardCoal,0.0
5609,1,NaturalGas,0.0
5609,2,NaturalGas,0.0
5609,3,Lignite,0.0
5609,4,Nuclear,56.52779700000021
5609,5,Oil,0.0
5609,6,NaturalGas,0.0
5609,7,NaturalGas,0.0
5609,8,HardCoal,0.0
5609,9,HardCoal,0.0
5609,10,Lignite,0.0
5609,11,Lignite,157.6408119592868
5609,12,HardCoal,0.0
5610,1,NaturalGas,0.0
5610,2,NaturalGas,0.0
5610,3,Lignite,0.0
5610,4,Nuclear,27.43347500000004
5610,5,Oil,0.0
5610,6,NaturalGas,0.0
5610,7,NaturalGas,0.0
5610,8,HardCoal,0.0
5610,9,HardCoal,0.0
5610,10,Lignite,0.0
5610,11,Lignite,168.08815479181752
5610,12,HardCoal,0.0
5611,1,NaturalGas,0.0
5611,2,NaturalGas,0.0
5611,3,Lignite,0.0
5611,4,Nuclear,37.325646000000035
5611,5,Oil,0.0
5611,6,NaturalGas,0.0
5611,7,NaturalGas,0.0
5611,8,HardCoal,0.0
5611,9,HardCoal,0.0
5611,10,Lignite,0.0
5611,11,Lignite,148.1872746545174
5611,12,HardCoal,0.0
5612,1,NaturalGas,0.0
5612,2,NaturalGas,0.0
5612,3,Lignite,0.0
5612,4,Nuclear,73.80238799999984
5612,5,Oil,0.0
5612,6,NaturalGas,0.0
5612,7,NaturalGas,0.0
5612,8,HardCoal,0.0
5612,9,HardCoal,0.0
5612,10,Lignite,0.0
5612,11,Lignite,101.91057994231154
5612,12,HardCoal,0.0
5613,1,NaturalGas,0.0
5613,2,NaturalGas,0.0
5613,3,Lignite,0.0
5613,4,Nuclear,137.3130871419093
5613,5,Oil,0.0
5613,6,NaturalGas,0.0
5613,7,NaturalGas,0.0
5613,8,HardCoal,0.0
5613,9,HardCoal,0.0
5613,10,Lignite,0.0
5613,11,Lignite,41.91057994231153
5613,12,HardCoal,0.0
5614,1,NaturalGas,0.0
5614,2,NaturalGas,0.0
5614,3,Lignite,6.20029000000013
5614,4,Nuclear,185.82661133206696
5614,5,Oil,0.0
5614,6,NaturalGas,0.0
5614,7,NaturalGas,0.0
5614,8,HardCoal,0.0
5614,9,HardCoal,0.0
5614,10,Lignite,0.0
5614,11,Lignite,0.0
5614,12,HardCoal,0.0
5615,1,NaturalGas,0.0
5615,2,NaturalGas,0.0
5615,3,Lignite,75.0
5615,4,Nuclear,100.577951887958
5615,5,Oil,0.0
5615,6,NaturalGas,0.0
5615,7,NaturalGas,0.0
5615,8,HardCoal,0.0
5615,9,HardCoal,0.0
5615,10,Lignite,0.0
5615,11,Lignite,0.0
5615,12,HardCoal,0.0
5616,1,NaturalGas,0.0
5616,2,NaturalGas,0.0
5616,3,Lignite,75.0
5616,4,Nuclear,50.59368169822574
5616,5,Oil,0.0
5616,6,NaturalGas,0.0
5616,7,NaturalGas,0.0
5616,8,HardCoal,0.0
5616,9,HardCoal,0.0
5616,10,Lignite,0.0
5616,11,Lignite,0.0
5616,12,HardCoal,0.0
5617,1,NaturalGas,0.0
5617,2,NaturalGas,0.0
5617,3,Lignite,75.0
5617,4,Nuclear,26.120567751041403
5617,5,Oil,0.0
5617,6,NaturalGas,0.0
5617,7,NaturalGas,0.0
5617,8,HardCoal,0.0
5617,9,HardCoal,0.0
5617,10,Lignite,0.0
5617,11,Lignite,0.0
5617,12,HardCoal,0.0
5618,1,NaturalGas,0.0
5618,2,NaturalGas,0.0
5618,3,Lignite,75.0
5618,4,Nuclear,29.78579909624952
5618,5,Oil,0.0
5618,6,NaturalGas,0.0
5618,7,NaturalGas,0.0
5618,8,HardCoal,0.0
5618,9,HardCoal,0.0
5618,10,Lignite,0.0
5618,11,Lignite,0.0
5618,12,HardCoal,0.0
5619,1,NaturalGas,0.0
5619,2,NaturalGas,0.0
5619,3,Lignite,75.0
5619,4,Nuclear,63.608017311689395
5619,5,Oil,0.0
5619,6,NaturalGas,0.0
5619,7,NaturalGas,0.0
5619,8,HardCoal,0.0
5619,9,HardCoal,0.0
5619,10,Lignite,0.0
5619,11,Lignite,0.0
5619,12,HardCoal,0.0
5620,1,NaturalGas,0.0
5620,2,NaturalGas,0.0
5620,3,Lignite,35.707040999999684
5620,4,Nuclear,95.70399354532009
5620,5,Oil,0.0
5620,6,NaturalGas,0.0
5620,7,NaturalGas,0.0
5620,8,HardCoal,0.0
5620,9,HardCoal,0.0
5620,10,Lignite,0.0
5620,11,Lignite,60.0
5620,12,HardCoal,0.0
5621,1,NaturalGas,0.0
5621,2,NaturalGas,0.0
5621,3,Lignite,0.0
5621,4,Nuclear,86.27760823475663
5621,5,Oil,0.0
5621,6,NaturalGas,0.0
5621,7,NaturalGas,0.0
5621,8,HardCoal,0.0
5621,9,HardCoal,0.0
5621,10,Lignite,0.0
5621,11,Lignite,80.03290799999967
5621,12,HardCoal,0.0
5622,1,NaturalGas,0.0
5622,2,NaturalGas,0.0
5622,3,Lignite,0.0
5622,4,Nuclear,43.69096800000038
5622,5,Oil,0.0
5622,6,NaturalGas,0.0
5622,7,NaturalGas,0.0
5622,8,HardCoal,0.0
5622,9,HardCoal,0.0
5622,10,Lignite,0.0
5622,11,Lignite,80.03290799999967
5622,12,HardCoal,17.100052564184796
5623,1,NaturalGas,0.0
5623,2,NaturalGas,0.0
5623,3,Lignite,0.0
5623,4,Nuclear,0.0
5623,5,Oil,0.0
5623,6,NaturalGas,19.682579525040754
5623,7,NaturalGas,0.0
5623,8,HardCoal,0.0
5623,9,HardCoal,0.0
5623,10,Lignite,0.0
5623,11,Lignite,41.532907999999665
5623,12,HardCoal,57.1000525641848
5624,1,NaturalGas,0.0
5624,2,NaturalGas,0.0
5624,3,Lignite,0.0
5624,4,Nuclear,0.0
5624,5,Oil,0.0
5624,6,NaturalGas,0.0
5624,7,NaturalGas,0.0
5624,8,HardCoal,0.0
5624,9,HardCoal,0.0
5624,10,Lignite,0.0
5624,11,Lignite,52.13590500000009
5624,12,HardCoal,69.25351633983948
5625,1,NaturalGas,0.0
5625,2,NaturalGas,0.0
5625,3,Lignite,0.0
5625,4,Nuclear,0.0
5625,5,Oil,0.0
5625,6,NaturalGas,0.0
5625,7,NaturalGas,0.0
5625,8,HardCoal,0.0
5625,9,HardCoal,0.0
5625,10,Lignite,0.0
5625,11,Lignite,40.03991500000006
5625,12,HardCoal,80.09621363802374
5626,1,NaturalGas,0.0
5626,2,NaturalGas,0.0
5626,3,Lignite,0.0
5626,4,Nuclear,0.0
5626,5,Oil,0.0
5626,6,NaturalGas,0.32605732055444037
5626,7,NaturalGas,0.0
5626,8,HardCoal,0.0
5626,9,HardCoal,0.0
5626,10,Lignite,0.0
5626,11,Lignite,2.7813980000000793
5626,12,HardCoal,120.09621363802374
5627,1,NaturalGas,0.0
5627,2,NaturalGas,0.0
5627,3,Lignite,0.0
5627,4,Nuclear,0.0
5627,5,Oil,0.0
5627,6,NaturalGas,0.0
5627,7,NaturalGas,0.0
5627,8,HardCoal,0.0
5627,9,HardCoal,0.0
5627,10,Lignite,0.0
5627,11,Lignite,7.848603999999559
5627,12,HardCoal,125.39615449342998
5628,1,NaturalGas,0.0
5628,2,NaturalGas,0.0
5628,3,Lignite,0.0
5628,4,Nuclear,0.0
5628,5,Oil,0.0
5628,6,NaturalGas,0.0
5628,7,NaturalGas,0.0
5628,8,HardCoal,0.0
5628,9,HardCoal,0.0
5628,10,Lignite,0.0
5628,11,Lignite,17.272569999999867
5628,12,HardCoal,117.63676570146826
5629,1,NaturalGas,0.0
5629,2,NaturalGas,0.0
5629,3,Lignite,0.0
5629,4,Nuclear,0.0
5629,5,Oil,0.0
5629,6,NaturalGas,0.0
