0.901,0.901,0.494,0.317
0.904,0.904,0.521,0.324
0.929,0.929,0.605,0.364
0.93,0.93,0.629,0.459
0.943,0.943,0.646,0.582
0.959,0.959,0.666,0.661
0.97,0.97,0.685,0.685
0.973,0.973,0.682,0.719
0.968,0.968,0.667,0.71
0.963,0.963,0.647,0.674
0.954,0.954,0.567,0.638
0.951,0.951,0.513,0.625
0.924,0.924,0.439,0.648
0.876,0.876,0.382,0.615
0.831,0.831,0.302,0.572
0.773,0.773,0.239,0.498
0.675,0.675,0.185,0.392
0.599,0.599,0.148,0.325
0.574,0.574,0.131,0.231
0.556,0.556,0.155,0.179
0.516,0.516,0.2,0.157
0.555,0.555,0.32,0.153
0.71,0.71,0.435,0.184
0.84,0.84,0.459,0.253
0.936,0.936,0.473,0.376
0.938,0.938,0.544,0.481
0.94,0.94,0.663,0.529
0.958,0.958,0.692,0.57
0.99,0.99,0.775,0.572
0.988,0.988,0.867,0.61
0.978,0.978,0.909,0.762
0.974,0.974,0.953,0.858
0.979,0.979,0.952,0.922
0.988,0.988,0.931,0.941
0.991,0.991,0.905,0.939
0.991,0.991,0.87,0.938
0.991,0.991,0.816,0.935
0.991,0.991,0.779,0.93
0.99,0.99,0.782,0.915
0.989,0.989,0.793,0.919
0.986,0.986,0.809,0.921
0.98,0.98,0.805,0.914
0.971,0.971,0.787,0.9
0.964,0.964,0.77,0.882
0.959,0.959,0.765,0.866
0.963,0.963,0.756,0.844
0.966,0.966,0.762,0.831
0.965,0.965,0.741,0.827
0.964,0.964,0.711,0.826
0.967,0.967,0.656,0.831
0.966,0.966,0.613,0.842
0.959,0.959,0.601,0.855
0.948,0.948,0.613,0.846
0.943,0.943,0.61,0.829
0.936,0.936,0.599,0.808
0.924,0.924,0.55,0.777
0.899,0.899,0.497,0.737
0.874,0.874,0.484,0.702
0.853,0.853,0.488,0.666
0.85,0.85,0.491,0.638
0.868,0.868,0.481,0.607
0.874,0.874,0.481,0.592
0.863,0.863,0.476,0.583
0.834,0.834,0.464,0.575
0.822,0.822,0.466,0.538
0.824,0.824,0.452,0.535
0.831,0.831,0.441,0.503
0.86,0.86,0.4,0.464
0.87,0.87,0.391,0.458
0.868,0.868,0.394,0.439
0.863,0.863,0.4,0.395
0.873,0.873,0.432,0.407
0.902,0.902,0.448,0.441
0.926,0.926,0.466,0.438
0.942,0.942,0.494,0.442
0.951,0.951,0.54,0.473
0.951,0.951,0.556,0.507
0.929,0.929,0.59,0.554
0.858,0.858,0.635,0.585
0.83,0.83,0.631,0.614
0.889,0.889,0.603,0.654
0.925,0.925,0.591,0.65
0.941,0.941,0.599,0.649
0.949,0.949,0.593,0.647
0.967,0.967,0.571,0.648
0.977,0.977,0.605,0.694
0.981,0.981,0.697,0.728
0.982,0.982,0.72,0.751
0.976,0.976,0.718,0.77
0.969,0.969,0.7,0.788
0.96,0.96,0.685,0.791
0.953,0.953,0.645,0.777
0.95,0.95,0.615,0.763
0.949,0.949,0.578,0.726
0.955,0.955,0.54,0.656
0.952,0.952,0.459,0.613
0.933,0.933,0.4,0.574
0.91,0.91,0.413,0.525
0.885,0.885,0.343,0.538
0.858,0.858,0.278,0.566
0.833,0.833,0.282,0.618
0.807,0.807,0.332,0.659
0.738,0.738,0.327,0.695
0.629,0.629,0.251,0.66
0.471,0.471,0.214,0.602
0.286,0.286,0.187,0.547
0.141,0.141,0.144,0.47
0.073,0.073,0.108,0.4
0.067,0.067,0.098,0.331
0.104,0.104,0.108,0.254
0.184,0.184,0.133,0.18
0.257,0.257,0.169,0.12
0.348,0.348,0.228,0.072
0.457,0.457,0.284,0.028
0.561,0.561,0.289,0.012
0.653,0.653,0.27,0.021
0.737,0.737,0.261,0.049
0.81,0.81,0.285,0.093
0.846,0.846,0.305,0.174
0.851,0.851,0.303,0.27
0.854,0.854,0.32,0.328
0.862,0.862,0.329,0.379
0.845,0.845,0.362,0.479
0.819,0.819,0.466,0.55
0.866,0.866,0.481,0.543
0.924,0.924,0.519,0.451
0.937,0.937,0.501,0.358
0.891,0.891,0.396,0.32
0.805,0.805,0.314,0.312
0.669,0.669,0.278,0.355
0.554,0.554,0.277,0.344
0.575,0.575,0.3,0.31
0.635,0.635,0.316,0.271
0.652,0.652,0.318,0.241
0.63,0.63,0.293,0.219
0.547,0.547,0.225,0.201
0.423,0.423,0.158,0.176
0.333,0.333,0.121,0.15
0.29,0.29,0.112,0.12
0.27,0.27,0.107,0.099
0.257,0.257,0.1,0.088
0.245,0.245,0.097,0.072
0.242,0.242,0.106,0.067
0.259,0.259,0.106,0.072
0.279,0.279,0.092,0.084
