time,unit,fuel,output_up
17,4,Nuclear,267.52898300000015
17,5,Oil,0.0
17,6,NaturalGas,0.0
17,7,NaturalGas,0.0
17,8,HardCoal,0.0
17,9,HardCoal,0.0
17,10,Lignite,0.0
17,11,Lignite,0.6238539855772718
17,12,HardCoal,0.0
18,1,NaturalGas,0.0
18,2,NaturalGas,0.0
18,3,Lignite,0.0
18,4,Nuclear,256.4588809999998
18,5,Oil,0.0
18,6,NaturalGas,0.0
18,7,NaturalGas,0.0
18,8,HardCoal,0.0
18,9,HardCoal,0.0
18,10,Lignite,0.0
18,11,Lignite,23.513450575734662
18,12,HardCoal,0.0
19,1,NaturalGas,0.0
19,2,NaturalGas,0.0
19,3,Lignite,0.0
19,4,Nuclear,291.28618925101676
19,5,Oil,0.0
19,6,NaturalGas,0.0
19,7,NaturalGas,0.0
19,8,HardCoal,0.0
19,9,HardCoal,0.0
19,10,Lignite,0.0
19,11,Lignite,0.0
19,12,HardCoal,0.0
20,1,NaturalGas,0.0
20,2,NaturalGas,0.0
20,3,Lignite,0.0
20,4,Nuclear,300.5775617109925
20,5,Oil,0.0
20,6,NaturalGas,0.0
20,7,NaturalGas,0.0
20,8,HardCoal,0.0
20,9,HardCoal,0.0
20,10,Lignite,0.0
20,11,Lignite,0.0
20,12,HardCoal,0.0
21,1,NaturalGas,0.0
21,2,NaturalGas,0.0
21,3,Lignite,51.46795299999999
21,4,Nuclear,261.29283003656735
21,5,Oil,0.0
21,6,NaturalGas,0.0
21,7,NaturalGas,0.0
21,8,HardCoal,0.0
21,9,HardCoal,0.0
21,10,Lignite,0.0
21,11,Lignite,0.0
21,12,HardCoal,0.0
22,1,NaturalGas,0.0
22,2,NaturalGas,0.0
22,3,Lignite,64.77465600000019
22,4,Nuclear,253.10312591585867
22,5,Oil,0.0
22,6,NaturalGas,0.0
22,7,NaturalGas,0.0
22,8,HardCoal,0.0
22,9,HardCoal,0.0
22,10,Lignite,0.0
22,11,Lignite,0.0
22,12,HardCoal,0.0
23,1,NaturalGas,0.0
23,2,NaturalGas,0.0
23,3,Lignite,75.0
23,4,Nuclear,177.31401540936153
23,5,Oil,0.0
23,6,NaturalGas,0.0
23,7,NaturalGas,0.0
23,8,HardCoal,0.0
23,9,HardCoal,0.0
23,10,Lignite,0.0
23,11,Lignite,0.0
23,12,HardCoal,0.0
24,1,NaturalGas,0.0
24,2,NaturalGas,0.0
24,3,Lignite,75.0
24,4,Nuclear,106.95274829467927
24,5,Oil,0.0
24,6,NaturalGas,0.0
24,7,NaturalGas,0.0
24,8,HardCoal,0.0
24,9,HardCoal,0.0
24,10,Lignite,0.0
24,11,Lignite,0.0
24,12,HardCoal,0.0
25,1,NaturalGas,0.0
25,2,NaturalGas,0.0
25,3,Lignite,75.0
25,4,Nuclear,58.8840013768485
25,5,Oil,0.0
25,6,NaturalGas,0.0
25,7,NaturalGas,0.0
25,8,HardCoal,0.0
25,9,HardCoal,0.0
25,10,Lignite,0.0
