time,storage
1,0.0
2,74.98909123549362
3,149.15257145336503
4,221.43741458567732
5,286.7179455161932
6,329.7815335913134
7,345.7334579484651
8,367.3111799240706
9,403.25590927266717
10,486.597013498763
11,564.8428735903005
12,632.8734557659542
13,694.5148986677488
14,758.9987277944807
15,828.1214986069253
16,905.0519199480393
17,988.2214945563829
18,1074.0304023917677
19,1163.6215484960028
20,1256.833129056328
21,1353.0179488038457
22,1453.101399375547
23,1554.8222895886217
24,1666.1009490897134
25,1786.96925733366
26,1878.3725429360263
27,1953.576616406609
28,2027.7481116670226
29,2126.909409479495
30,2242.0588893618733
31,2345.1082594879827
32,2444.907323903842
33,2539.9482025788766
34,2635.2842641233915
35,2618.2297424893004
36,2553.1178224196565
37,2480.896813741176
38,2554.7828855578723
39,2554.779564745308
40,2637.1042603407386
41,2600.8710643932795
42,2565.893142156544
43,2524.6778997361366
44,2454.495486627245
45,2492.9485718267306
46,2564.851799725898
47,2632.374748501014
48,2694.325193788379
49,2752.6848299949706
50,2810.447895788508
51,2868.372927318642
52,2930.410089805627
53,2995.258053407784
54,3069.149687058349
55,3149.0485759080443
56,3236.118427254514
57,3224.451452164909
58,3145.5263709305855
59,3047.6320028058103
60,2997.2858071823907
61,2942.184006308658
62,2813.5018283955183
63,2762.802619911426
64,2860.8416721477406
65,2787.5559833812385
66,2617.1964637030237
67,2432.890602238446
68,2328.643952993721
69,2347.1676777751672
70,2454.4006688793274
71,2563.010201031467
72,2673.2570077381274
73,2786.9926439573596
74,2902.276636473105
75,3020.0226387893395
76,3135.01930718232
77,3244.4611948257757
78,3347.0250745614762
79,3444.3625346687186
80,3513.9503280841786
81,3401.853540544169
82,3157.6528674354813
83,2956.3535258553925
84,2791.0916762625943
85,2711.3825055677994
86,2578.654243453683
87,2403.351421037579
88,2240.0948174180808
89,2144.21548969006
90,1999.5097488264093
91,1786.4568123218041
92,1579.9826478159273
93,1553.3308387599407
94,1611.0628216965806
95,1669.8874027874285
96,1720.6037696616586
97,1765.199486303723
98,1797.4943691594888
99,1810.6782284224034
100,1812.991004064068
101,1812.991004064068
102,1812.991004064068
103,1816.4737137694096
104,1752.643926535367
105,1551.235985040351
106,1362.611610417253
107,1297.414742994848
108,1161.0560153288575
109,1048.1077374270967
110,1017.894498203297
111,1006.7618090141599
112,920.5650686846341
113,781.9600989822653
114,554.0535918488199
115,337.00013543421494
116,118.25938251006198
117,32.60627758500846
118,72.86710221012011
119,143.05957319366792
120,218.7398852032383
121,299.2505562772819
122,386.94213638191775
123,478.19993998750994
124,577.026317379814
125,683.7959318225411
126,794.8609073240275
127,902.1287971559334
128,997.1114678213714
129,1027.2080771375909
130,873.3218568436214
131,712.3408064482319
132,605.0678052277094
133,705.4207626977364
134,804.3327155512571
135,910.1052789406332
136,1015.2820909038194
137,1005.3331159575438
138,680.9339488600892
139,327.5075859879891
140,83.74264336916917
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,40.763264825828905
148,146.5068167863439
149,146.5068167863439
150,260.50615607448606
151,377.6975510876887
152,377.6975510876887
153,377.6975510876887
154,377.6975510876887
155,377.6975510876887
156,313.8677638536461
157,313.8677638536461
158,313.8677638536461
159,313.8677638536461
160,313.8677638536461
161,313.8677638536461
162,196.39452256397746
163,48.693726963618474
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
